batch,tongue,location,tongue_weight,tongue_temperature,cold_injury,avulsion_injury,poor_quality,method,file,start_time,end_time,contact_time,application_time,detachment_force,metal_temp,avg_temperature,avg_humidity,avg_pressure
10,3,APEX,174,37.0,True,True,True,Jerk,25.03.25 12-52-18.csv,2025-03-25T12:51:00Z,2025-03-25T12:52:59Z,3.136015,1.844015,19.914145138206376,-23.9830155211986,23.821,23.87325,1000.17375
10,3,BASIS,174,36.0,True,False,False,Motor,25.03.25 13-07-53.csv,2025-03-25T13:07:00Z,2025-03-25T13:08:59Z,8.996213999999998,6.345001,11.545208737673102,-19.3570220751177,23.8365714285714,23.5037142857143,1000.26828571429
10,4,APEX,173,37.0,True,True,True,Motor,25.03.25 13-09-37.csv,2025-03-25T13:08:00Z,2025-03-25T13:09:59Z,6.250213,3.2680149999999997,8.07310403533793,-15.7855875060016,23.8525714285714,23.5694285714286,1000.28742857143
10,4,BASIS,173,35.0,True,False,False,Motor,25.03.25 12-54-20.csv,2025-03-25T12:53:00Z,2025-03-25T12:54:59Z,9.576204,6.848993,8.839378951555174,-17.0752604469492,23.8387804878049,23.8019512195122,1000.1856097561
10,5,APEX,178,35.0,True,True,False,Jerk,25.03.25 13-11-24.csv,2025-03-25T13:10:00Z,2025-03-25T13:12:59Z,7.386993,5.3508830000000005,40.633925762096894,-12.4191736572063,23.8895081967213,23.3804918032787,1000.32098360656
10,5,BASIS,178,31.0,True,False,False,Jerk,25.03.25 12-58-34.csv,2025-03-25T12:57:00Z,2025-03-25T12:58:59Z,9.879,5.696015,2.5303821413665535,-49.1238089840412,23.8210526315789,23.551052631579,1000.19973684211
10,6,APEX,186,35.0,True,False,True,Jerk,25.03.25 13-00-35.csv,2025-03-25T13:00:00Z,2025-03-25T13:01:59Z,7.456015,3.843007,12.725397727486376,-38.092928913716,23.8389743589744,23.6258974358974,1000.21282051282
10,6,BASIS,186,33.0,False,False,False,Jerk,25.03.25 13-15-27.csv,2025-03-25T13:15:00Z,2025-03-25T13:16:59Z,4.984,3.228,1.6610997773955192,-5.79861704935025,23.9069230769231,23.4212820512821,1000.36641025641
11,1,APEX,230,35.0,True,False,True,Jerk,25.03.25 13-31-46.csv,2025-03-25T13:31:00Z,2025-03-25T13:32:59Z,8.398,4.699,11.731124618984827,-36.282788210899,23.848,23.4885,1000.47975
11,1,BASIS,230,37.0,True,False,False,Jerk,25.03.25 13-44-38.csv,2025-03-25T13:43:00Z,2025-03-25T13:44:59Z,4.547,4.279015,14.685051611582928,-29.7585112388486,23.937,23.06725,1000.5785
11,2,APEX,188,37.0,True,False,True,Jerk,25.03.25 13-33-28.csv,2025-03-25T13:33:00Z,2025-03-25T13:33:59Z,4.899985,3.84,4.177245117039999,-29.0611336009503,23.887,23.697,1000.493
11,2,BASIS,188,37.0,True,True,False,Motor,25.03.25 13-46-22.csv,2025-03-25T13:45:00Z,2025-03-25T13:46:59Z,11.354213,5.572021,10.355598334955515,-24.5192792854623,23.945,23.25325,1000.6005
11,3,APEX,187,35.0,True,False,True,Motor,25.03.25 13-48-18.csv,2025-03-25T13:47:00Z,2025-03-25T13:48:59Z,12.035212,5.844007,10.435785027007755,-19.2761310209193,23.95025,23.09925,1000.62375
11,3,BASIS,187,37.0,True,True,False,Jerk,25.03.25 13-35-45.csv,2025-03-25T13:35:00Z,2025-03-25T13:35:59Z,2.787,2.359,42.52448928489516,-26.4847827751947,23.9,23.3580952380952,1000.50142857143
11,4,APEX,194,37.0,True,True,True,Motor,25.03.25 13-49-57.csv,2025-03-25T13:49:00Z,2025-03-25T13:50:59Z,6.568212000000001,2.612,6.596873315598105,-15.2523920820847,23.9625641025641,23.2325641025641,1000.62820512821
11,4,BASIS,194,36.0,True,True,False,Jerk,25.03.25 13-37-28.csv,2025-03-25T13:36:00Z,2025-03-25T13:37:59Z,3.834982,2.306,27.14748723667345,-19.7921113989767,23.9189473684211,23.3692105263158,1000.52526315789
11,5,APEX,182,37.0,False,True,True,Motor,25.03.25 13-53-43.csv,2025-03-25T13:53:00Z,2025-03-25T13:53:59Z,4.994213,1.6800000000000002,6.642724191732412,-14.5925915094986,23.9445,23.081,1000.6175
11,5,BASIS,182,37.0,True,True,False,Motor,25.03.25 13-39-10.csv,2025-03-25T13:38:00Z,2025-03-25T13:39:59Z,8.162258,4.224,35.98393508199172,-14.0404244876748,23.9310810810811,23.2245945945946,1000.54486486486
11,6,APEX,220,37.0,True,True,True,Jerk,25.03.25 13-41-14.csv,2025-03-25T13:39:00Z,2025-03-25T13:41:59Z,6.210992000000001,4.019,19.145985939408273,-8.05737677610012,23.9356140350877,23.2470175438597,1000.56070175439
11,6,BASIS,220,36.0,False,False,False,Motor,25.03.25 13-56-30.csv,2025-03-25T13:56:00Z,2025-03-25T13:56:59Z,13.535,2.296114,1.2930365799337924,-7.01675837484805,23.9585,23.0115,1000.621
12,1,APEX,163,36.0,True,True,False,Motor,25.03.25 14-43-40.csv,2025-03-25T14:42:00Z,2025-03-25T14:43:59Z,6.245249,1.928,11.066600962134137,-20.0123151424501,23.97175,23.3745,1000.883
12,1,BASIS,163,34.0,True,False,False,Motor,25.03.25 14-26-04.csv,2025-03-25T14:24:00Z,2025-03-25T14:26:59Z,8.635206,5.260000000000001,5.814267950346725,-33.2476466835842,23.7843333333333,23.5018333333333,1000.87616666667
12,2,APEX,180,34.0,True,False,False,Jerk,25.03.25 14-47-55.csv,2025-03-25T14:47:00Z,2025-03-25T14:48:59Z,5.852,4.1,42.77258649137534,-20.7063761423772,23.9712820512821,23.455641025641,1000.80307692308
12,2,BASIS,180,34.0,True,False,False,Motor,25.03.25 14-29-24.csv,2025-03-25T14:28:00Z,2025-03-25T14:29:59Z,8.792213,4.9,5.653894566242242,-20.477168133771,23.8564102564103,23.6623076923077,1000.91461538462
12,3,APEX,222,36.0,True,False,True,Jerk,25.03.25 14-32-58.csv,2025-03-25T14:32:00Z,2025-03-25T14:33:59Z,7.916,5.448015,20.54412361440793,-9.95859753491443,23.9246153846154,23.4484615384615,1000.87153846154
12,3,BASIS,222,35.0,True,False,False,Jerk,25.03.25 14-50-18.csv,2025-03-25T14:49:00Z,2025-03-25T14:50:59Z,9.008,6.627999999999998,43.10966370861844,-12.114174162687,23.9895,23.45425,1000.824
12,4,APEX,185,36.0,True,False,False,Motor,25.03.25 14-37-27.csv,2025-03-25T14:36:00Z,2025-03-25T14:37:59Z,9.703211,6.809999,4.632822772146207,-39.7359483155009,23.9247368421053,23.4131578947368,1000.86394736842
12,4,BASIS,185,36.0,True,True,False,Jerk,25.03.25 14-53-09.csv,2025-03-25T14:52:00Z,2025-03-25T14:53:59Z,8.236,6.728985000000001,43.93246710226155,-14.2611340695914,23.9865789473684,23.3660526315789,1000.81631578947
12,5,APEX,225,34.0,True,False,True,Jerk,25.03.25 14-39-42.csv,2025-03-25T14:38:00Z,2025-03-25T14:39:59Z,5.806985000000001,3.915985,19.86682870895362,-31.7412256893811,23.9437837837838,23.4048648648649,1000.88189189189
12,5,BASIS,225,35.0,True,True,False,Motor,25.03.25 14-55-10.csv,2025-03-25T14:54:00Z,2025-03-25T14:55:59Z,9.785198,5.826,29.625528195238275,-11.8801815478537,23.9915384615385,23.4171794871795,1000.82564102564
12,6,APEX,175,35.0,False,False,False,Jerk,25.03.25 14-56-48.csv,2025-03-25T14:56:00Z,2025-03-25T14:57:59Z,5.471991,3.712007,1.570863578245346,-10.0611271997962,23.9978048780488,23.3682926829268,1000.85268292683
12,6,BASIS,175,35.0,True,True,False,Motor,25.03.25 14-42-06.csv,2025-03-25T14:40:00Z,2025-03-25T14:42:59Z,5.418213000000001,2.055993,28.509195448443105,-24.316461161911,23.9695081967213,23.3501639344262,1000.88360655738
13,1,APEX,230,36.0,True,False,True,Motor,25.03.25 15-18-45.csv,2025-03-25T15:17:00Z,2025-03-25T15:19:59Z,9.115212,6.98,2.3369291297313772,-41.252127034656,23.9429090909091,23.3245454545455,1000.956
13,1,BASIS,230,36.0,True,True,False,Jerk,25.03.25 15-36-57.csv,2025-03-25T15:36:00Z,2025-03-25T15:37:59Z,11.74,8.507985,39.65095834908051,-20.7885137176009,23.95825,23.2455,1001.18375
13,2,APEX,210,36.0,True,True,False,Jerk,25.03.25 15-38-38.csv,2025-03-25T15:38:00Z,2025-03-25T15:39:59Z,10.771999999999998,9.750007,27.531043424244483,-16.0860662931502,23.9734146341463,23.1446341463415,1001.18609756098
13,2,BASIS,210,36.0,True,False,False,Motor,25.03.25 15-20-53.csv,2025-03-25T15:20:00Z,2025-03-25T15:21:59Z,5.695748,1.64,3.3810310442601734,-31.088807077027,23.9555,23.2715,1000.97625
13,3,APEX,170,34.0,True,True,False,Jerk,25.03.25 15-23-41.csv,2025-03-25T15:22:00Z,2025-03-25T15:23:59Z,6.238,4.321993000000001,35.20384209351483,-20.1126606347382,23.9821951219512,23.1263414634146,1000.97268292683
13,3,BASIS,170,35.0,True,False,False,Motor,25.03.25 15-43-09.csv,2025-03-25T15:42:00Z,2025-03-25T15:43:59Z,8.795212999999999,6.2749999999999995,5.246680164044827,-40.8996413655334,23.9294871794872,23.3664102564103,1001.21487179487
13,4,APEX,194,36.0,True,True,True,Jerk,25.03.25 15-46-41.csv,2025-03-25T15:46:00Z,2025-03-25T15:46:59Z,3.536,2.36,17.204546786926723,-26.1447928888152,23.9509523809524,23.3171428571429,1001.25047619048
13,4,BASIS,194,36.0,True,True,False,Jerk,25.03.25 15-25-39.csv,2025-03-25T15:25:00Z,2025-03-25T15:26:59Z,11.999007,5.514985999999999,54.49073049702534,-13.7390815778556,24.0051282051282,23.1171794871795,1001.02897435897
13,5,APEX,183,36.0,True,False,False,Jerk,25.03.25 15-32-50.csv,2025-03-25T15:32:00Z,2025-03-25T15:33:59Z,7.967029,5.895022999999999,24.40627481098155,-34.7503342994529,23.8835,23.20175,1001.12
13,5,BASIS,183,36.0,True,True,False,Motor,25.03.25 15-48-21.csv,2025-03-25T15:47:00Z,2025-03-25T15:48:59Z,6.970213,2.956015,26.929538551487067,-20.4043379715296,23.9597435897436,23.238717948718,1001.27641025641
13,6,APEX,153,35.0,True,True,True,Motor,25.03.25 15-49-59.csv,2025-03-25T15:49:00Z,2025-03-25T15:50:59Z,6.222212,2.232,11.371854740233792,-15.4192575363625,23.97425,23.19025,1001.31625
13,6,BASIS,153,35.0,True,True,False,Motor,25.03.25 15-35-03.csv,2025-03-25T15:34:00Z,2025-03-25T15:35:59Z,11.98221,4.924007,38.35750303968431,-26.7633785433719,23.9392682926829,23.1241463414634,1001.16170731707
14,1,APEX,199,37.0,True,False,True,Motor,25.03.25 16-28-57.csv,2025-03-25T16:28:00Z,2025-03-25T16:29:59Z,10.619212,7.538985,6.757037334971377,-48.7163584699895,23.8817948717949,23.6441025641026,1001.69948717949
14,1,BASIS,199,36.0,True,True,False,Motor,25.03.25 16-44-41.csv,2025-03-25T16:44:00Z,2025-03-25T16:45:59Z,7.659213,1.736,37.20997494793931,-30.2307051036476,23.9636585365854,23.1936585365854,1001.91097560976
14,2,APEX,230,35.0,True,True,True,Motor,25.03.25 16-50-46.csv,2025-03-25T16:50:00Z,2025-03-25T16:51:59Z,7.074213,1.907985,24.399784504314137,-36.9224548107176,23.959512195122,22.8734146341463,1001.90146341463
14,2,BASIS,230,36.0,True,True,False,Motor,25.03.25 16-30-56.csv,2025-03-25T16:30:00Z,2025-03-25T16:31:59Z,4.851213,1.872,19.30196266415741,-40.26110434451,23.9012820512821,23.7579487179487,1001.77076923077
14,3,APEX,172,32.0,True,False,False,Jerk,25.03.25 16-53-50.csv,2025-03-25T16:53:00Z,2025-03-25T16:54:59Z,9.055999,4.6040019999999995,15.498224227590518,-23.494132678223,23.9579487179487,22.9279487179487,1001.97076923077
14,3,BASIS,172,35.0,True,True,False,Jerk,25.03.25 16-33-25.csv,2025-03-25T16:32:00Z,2025-03-25T16:33:59Z,6.642985,3.0390150000000005,27.938257826441898,-31.048216621361,23.9241025641026,23.4635897435897,1001.79615384615
14,4,APEX,164,35.0,True,True,False,Jerk,25.03.25 16-35-21.csv,2025-03-25T16:34:00Z,2025-03-25T16:35:59Z,9.307,2.3840000000000003,30.568088215131723,-24.8015778319233,23.93175,23.307,1001.82
14,4,BASIS,164,36.0,True,True,False,Jerk,25.03.25 16-57-15.csv,2025-03-25T16:57:00Z,2025-03-25T16:57:59Z,6.903,5.183014,35.07801389005948,-11.99057262638,23.9635,22.812,1001.9985
14,5,APEX,212,34.0,True,False,False,Motor,25.03.25 16-40-37.csv,2025-03-25T16:39:00Z,2025-03-25T16:40:59Z,10.670267,4.22,4.566663517084827,-48.1881274942935,23.9363414634146,23.1917073170732,1001.88365853659
14,5,BASIS,212,33.0,True,False,False,Jerk,25.03.25 17-03-21.csv,2025-03-25T17:03:00Z,2025-03-25T17:03:59Z,12.127,6.436000000000002,18.524800781917413,-33.4604247649617,23.9576190476191,22.8033333333333,1002.03047619048
14,6,APEX,169,34.0,True,False,False,Motor,25.03.25 17-05-52.csv,2025-03-25T17:05:00Z,2025-03-25T17:06:59Z,8.523213,4.069999999999999,13.075455558064306,-21.1060564519211,23.9517948717949,22.7653846153846,1002.07
14,6,BASIS,169,34.0,True,False,False,Jerk,25.03.25 16-43-05.csv,2025-03-25T16:42:00Z,2025-03-25T16:43:59Z,5.646999999999999,3.566993,2.702898679881033,-36.6897677642414,23.9433333333333,23.11,1001.91256410256
