Batch;Tunge nr;Plassering;Kraft;Filnavn;Vekt [gr];Start time;End time;Tongue Temp (IR);Pipe temp sensor;Pipe temp IR;Frostskade;Avrivningsskade;Dårlig kvalitet;Kommentar;contact_time(s);total_force_app_time(s);num_force_applications;detach_force(g);plot_path
12;6;APEX;Rykk;25.03.25 14-56-48.csv;175;25.03.25 14-56-00;25.03.25 14-57-59;35.0;-6.0;0.0;FALSE;FALSE;FALSE;ingen adhesjon, varmt rør;5.471991;3.712007;1;160.18350591133017;./main/output/plots/25.03.25 14-56-48.png
13;1;APEX;Motor;25.03.25 15-18-45.csv;230;25.03.25 15-17-00;25.03.25 15-19-59;36.0;-9.0;-25.0;TRUE;FALSE;TRUE;;9.115212;6.98;1;238.30045221674857;./main/output/plots/25.03.25 15-18-45.png
13;2;BASIS;Motor;25.03.25 15-20-53.csv;210;25.03.25 15-20-00;25.03.25 15-21-59;36.0;-22.0;-20.0;TRUE;FALSE;FALSE;på formalin;5.695748;1.64;1;344.7692172413794;./main/output/plots/25.03.25 15-20-53.png
13;3;APEX;Rykk;25.03.25 15-23-41.csv;170;25.03.25 15-22-00;25.03.25 15-23-59;34.0;-23.0;-5.0;TRUE;TRUE;FALSE;dobbelt rykk, på formalin;6.238;4.321993000000001;1;3589.7928541871925;./main/output/plots/25.03.25 15-23-41.png
13;4;BASIS;Rykk;25.03.25 15-25-39.csv;194;25.03.25 15-25-00;25.03.25 15-26-59;36.0;-17.0;-5.0;TRUE;TRUE;FALSE;dobbelt rykk, bra skade;11.999007;5.514985999999999;1;5556.508134482759;./main/output/plots/25.03.25 15-25-39.png
13;5;APEX;Rykk;25.03.25 15-32-50.csv;183;25.03.25 15-32-00;25.03.25 15-33-59;36.0;-10.0;-16.0;TRUE;FALSE;FALSE;;7.967029;5.895022999999999;1;2488.747412315271;./main/output/plots/25.03.25 15-32-50.png
13;6;BASIS;Motor;25.03.25 15-35-03.csv;153;25.03.25 15-34-00;25.03.25 15-35-59;35.0;-14.0;-15.0;TRUE;TRUE;FALSE;bilde av skade igjen på rør;11.98221;4.924007;1;3911.376773891626;./main/output/plots/25.03.25 15-35-03.png
13;1;BASIS;Rykk;25.03.25 15-36-57.csv;230;25.03.25 15-36-00;25.03.25 15-37-59;36.0;-14.0;-10.0;TRUE;TRUE;FALSE;;11.74;8.507985;1;4043.272508866995;./main/output/plots/25.03.25 15-36-57.png
13;2;APEX;Rykk;25.03.25 15-38-38.csv;210;25.03.25 15-38-00;25.03.25 15-39-59;36.0;-12.0;-7.0;TRUE;TRUE;FALSE;Pent bilde, på formalin;10.771999999999998;9.750007;1;2807.385133990148;./main/output/plots/25.03.25 15-38-38.png
13;3;BASIS;Motor;25.03.25 15-43-09.csv;170;25.03.25 15-42-00;25.03.25 15-43-59;35.0;-18.0;-27.0;TRUE;FALSE;FALSE;bra bilde av skade;8.795212999999999;6.2749999999999995;1;535.0124827586206;./main/output/plots/25.03.25 15-43-09.png
